knr,knavn,aar,pm2,Menn_ya_p,Kvinner_ya_p,Total_ya_p,Total_t,rel_inc_l,rel_inc_h,uni_k_mf,uni_k_m,uni_k_f,uni_l_mf,uni_l_m,uni_l_f,nytt_bareal,nytt_bareal_pp
0101,Halden,2006,12052,59.75007265329846,56.791803983378706,58.260587259216514,27722,5.699999999999999,-5.300000000000001,17,14.8,19.1,3.6,5.3,2,9413,0.3395498160305894
0101,Halden,2007,12363,59.716086043311364,56.80068434559452,58.24681156816956,27835,6,-6.100000000000001,17.4,15.1,19.6,3.7,5.3,2.2,14292,0.5134542841746004
0101,Halden,2008,13427,59.748923959827835,56.79762577727529,58.262138687170726,28092,5.100000000000001,-7.199999999999999,17.8,15.1,20.4,3.9,5.4,2.4,16214,0.5771749964402677
0101,Halden,2009,13095,59.77859778597786,57.046932922990834,58.402902532671106,28389,5.399999999999999,-6.199999999999999,18.2,15.4,20.9,3.9,5.4,2.5,5988,0.21092676740991229
0101,Halden,2010,13832,59.64298214910746,57.06300462355946,58.343758687795386,28776,4.199999999999999,-6.200000000000003,18.6,15.6,21.6,4.1,5.5,2.7,5775,0.2006880733944954
0101,Halden,2011,14915,59.84630163304515,57.22381537621194,58.531827515400416,29220,4.300000000000001,-6.700000000000003,19,15.8,22.2,4.4,5.8,3,9666,0.33080082135523614
0101,Halden,2012,15473,59.45121951219512,57.00466752350673,58.226991165419896,29543,3.3000000000000007,-6.799999999999997,19.6,16.2,22.9,4.6,5.9,3.3,10916,0.3694953119182209
0101,Halden,2013,15461,58.97797475154445,56.73872431278356,57.85475234270415,29880,3.5999999999999996,-6.899999999999999,19.9,16.4,23.3,4.6,5.8,3.4,15174,0.5078313253012048
0101,Halden,2014,17164,58.760143674338174,56.729368128228906,57.742599230054424,30132,2.5,-6.200000000000003,20.6,17,24,4.9,6.1,3.8,8871,0.2944046196734369
0101,Halden,2015,17427,58.714568226763355,56.84786911202006,57.78158797151147,30328,2.1999999999999993,-6.700000000000003,21,17.2,24.8,5.2,6.4,4.1,12162,0.401015563175943
0101,Halden,2016,18941,58.68940284855613,56.64129150807192,57.66762702985856,30544,2.5999999999999996,-7.200000000000003,21.4,17.4,25.4,5.4,6.5,4.4,8422,0.2757333682556312
0101,Halden,2017,20143,58.94138176177858,56.851863942025204,57.901916206560564,30790,2.3000000000000007,-6.200000000000003,21.6,17.5,25.7,5.6,6.5,4.7,10921,0.35469308216953555
0104,Moss,2006,15716,60.622817229336434,58.85856766865217,59.71896955503513,28182,3.6999999999999993,-2.3000000000000007,18.5,16.5,20.4,5,6.9,3.2,6314,0.22404371584699453
0104,Moss,2007,17767,60.371139929784334,58.9329517579722,59.63398875423462,28633,3,-4.100000000000001,18.6,16.5,20.6,5.2,7,3.6,2584,0.0902455209024552
0104,Moss,2008,18299,60.69850620660635,58.67422708248954,59.66704502459327,29073,3.1000000000000014,-5.199999999999999,19.1,16.6,21.4,5.5,7.1,4,2255,0.07756337495270525
0104,Moss,2009,18338,60.69288518493009,58.922290795673234,59.791131539813435,29588,3.3999999999999986,-5.199999999999999,19.2,16.6,21.6,5.6,7.3,4.1,3497,0.11818980667838312
